Parameters: 
   graphfile = /var/tmp/dgleich/data/uk-2007-05-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 105896555
edges = -556233648
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.372126e+00 ; dt =    74.1
 iogs (outer) : iter =      1 ; odelta = 3.233951e-01 ; dt =   450.0 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.016377e-01 ; dt =   750.1 ; nmult =        10
 iogs (outer) : iter =      3 ; odelta = 5.165859e-02 ; dt =  1051.2 ; nmult =        14
 iogs (outer) : iter =      4 ; odelta = 3.553289e-02 ; dt =  1356.1 ; nmult =        18
 iogs (outer) : iter =      5 ; odelta = 2.768575e-02 ; dt =  1657.6 ; nmult =        22
 iogs (outer) : iter =      6 ; odelta = 2.279923e-02 ; dt =  1957.9 ; nmult =        26
 iogs (outer) : iter =      7 ; odelta = 1.956650e-02 ; dt =  2182.9 ; nmult =        29
 iogs (outer) : iter =      8 ; odelta = 1.712007e-02 ; dt =  2407.8 ; nmult =        32
 iogs (outer) : iter =      9 ; odelta = 1.518777e-02 ; dt =  2632.9 ; nmult =        35
 iogs (outer) : iter =     10 ; odelta = 1.361657e-02 ; dt =  2857.9 ; nmult =        38
 iogs (outer) : iter =     11 ; odelta = 1.231441e-02 ; dt =  3086.0 ; nmult =        41
 iogs (outer) : iter =     12 ; odelta = 1.121734e-02 ; dt =  3312.5 ; nmult =        44
 iogs (outer) : iter =     13 ; odelta = 1.027849e-02 ; dt =  3537.4 ; nmult =        47
 iogs (outer) : iter =     14 ; odelta = 9.466533e-03 ; dt =  3762.2 ; nmult =        50
 iogs (   gs) : iter =    398 ; delta = 9.466533e-03 ; diff = 3.027379e-07 ; dt = 32752.9 sec ; nmult =    434
 iogs (   gs) : iter =    399 ; delta = 9.466533e-03 ; diff = 2.969475e-07 ; dt = 32828.4 sec ; nmult =    435
 iogs (   gs) : iter =    400 ; delta = 9.466533e-03 ; diff = 2.898876e-07 ; dt = 32904.0 sec ; nmult =    436
 iogs (   gs) : iter =    401 ; delta = 9.466533e-03 ; diff = 2.843503e-07 ; dt = 32979.1 sec ; nmult =    437
 iogs (   gs) : iter =    402 ; delta = 9.466533e-03 ; diff = 2.776034e-07 ; dt = 33054.4 sec ; nmult =    438
 iogs (   gs) : iter =    403 ; delta = 9.466533e-03 ; diff = 2.723182e-07 ; dt = 33129.6 sec ; nmult =    439
 iogs (   gs) : iter =    404 ; delta = 9.466533e-03 ; diff = 2.658469e-07 ; dt = 33205.3 sec ; nmult =    440
 iogs (   gs) : iter =    405 ; delta = 9.466533e-03 ; diff = 2.608079e-07 ; dt = 33280.6 sec ; nmult =    441
 iogs (   gs) : iter =    406 ; delta = 9.466533e-03 ; diff = 2.546126e-07 ; dt = 33356.5 sec ; nmult =    442
 iogs (   gs) : iter =    407 ; delta = 9.466533e-03 ; diff = 2.498049e-07 ; dt = 33432.3 sec ; nmult =    443
 iogs (   gs) : iter =    408 ; delta = 9.466533e-03 ; diff = 2.438707e-07 ; dt = 33509.0 sec ; nmult =    444
 iogs (   gs) : iter =    409 ; delta = 9.466533e-03 ; diff = 2.392732e-07 ; dt = 33586.4 sec ; nmult =    445
 iogs (   gs) : iter =    410 ; delta = 9.466533e-03 ; diff = 2.335887e-07 ; dt = 33663.5 sec ; nmult =    446
 iogs (   gs) : iter =    411 ; delta = 9.466533e-03 ; diff = 2.292118e-07 ; dt = 33740.3 sec ; nmult =    447
 iogs (   gs) : iter =    412 ; delta = 9.466533e-03 ; diff = 2.237612e-07 ; dt = 33816.6 sec ; nmult =    448
 iogs (   gs) : iter =    413 ; delta = 9.466533e-03 ; diff = 2.195753e-07 ; dt = 33892.0 sec ; nmult =    449
 iogs (   gs) : iter =    414 ; delta = 9.466533e-03 ; diff = 2.143629e-07 ; dt = 33967.6 sec ; nmult =    450
 iogs (   gs) : iter =    415 ; delta = 9.466533e-03 ; diff = 2.103663e-07 ; dt = 34043.2 sec ; nmult =    451
 iogs (   gs) : iter =    416 ; delta = 9.466533e-03 ; diff = 2.053657e-07 ; dt = 34118.9 sec ; nmult =    452
 iogs (   gs) : iter =    417 ; delta = 9.466533e-03 ; diff = 2.015510e-07 ; dt = 34194.7 sec ; nmult =    453
 iogs (   gs) : iter =    418 ; delta = 9.466533e-03 ; diff = 1.967631e-07 ; dt = 34270.4 sec ; nmult =    454
 iogs (   gs) : iter =    419 ; delta = 9.466533e-03 ; diff = 1.931192e-07 ; dt = 34346.3 sec ; nmult =    455
 iogs (   gs) : iter =    420 ; delta = 9.466533e-03 ; diff = 1.885335e-07 ; dt = 34422.4 sec ; nmult =    456
 iogs (   gs) : iter =    421 ; delta = 9.466533e-03 ; diff = 1.850469e-07 ; dt = 34498.5 sec ; nmult =    457
 iogs (   gs) : iter =    422 ; delta = 9.466533e-03 ; diff = 1.806541e-07 ; dt = 34574.3 sec ; nmult =    458
 iogs (   gs) : iter =    423 ; delta = 9.466533e-03 ; diff = 1.773368e-07 ; dt = 34650.2 sec ; nmult =    459
 iogs (   gs) : iter =    424 ; delta = 9.466533e-03 ; diff = 1.731174e-07 ; dt = 34726.2 sec ; nmult =    460
 iogs (   gs) : iter =    425 ; delta = 9.466533e-03 ; diff = 1.699451e-07 ; dt = 34802.6 sec ; nmult =    461
 iogs (   gs) : iter =    426 ; delta = 9.466533e-03 ; diff = 1.659064e-07 ; dt = 34878.8 sec ; nmult =    462
 iogs (   gs) : iter =    427 ; delta = 9.466533e-03 ; diff = 1.628781e-07 ; dt = 34955.1 sec ; nmult =    463
 iogs (   gs) : iter =    428 ; delta = 9.466533e-03 ; diff = 1.590053e-07 ; dt = 35032.7 sec ; nmult =    464
 iogs (   gs) : iter =    429 ; delta = 9.466533e-03 ; diff = 1.561145e-07 ; dt = 35108.7 sec ; nmult =    465
 iogs (   gs) : iter =    430 ; delta = 9.466533e-03 ; diff = 1.524029e-07 ; dt = 35184.9 sec ; nmult =    466
 iogs (   gs) : iter =    431 ; delta = 9.466533e-03 ; diff = 1.496424e-07 ; dt = 35261.1 sec ; nmult =    467
 iogs (   gs) : iter =    432 ; delta = 9.466533e-03 ; diff = 1.460837e-07 ; dt = 35338.2 sec ; nmult =    468
 iogs (   gs) : iter =    433 ; delta = 9.466533e-03 ; diff = 1.434429e-07 ; dt = 35415.3 sec ; nmult =    469
 iogs (   gs) : iter =    434 ; delta = 9.466533e-03 ; diff = 1.400342e-07 ; dt = 35492.5 sec ; nmult =    470
 iogs (   gs) : iter =    435 ; delta = 9.466533e-03 ; diff = 1.375174e-07 ; dt = 35569.6 sec ; nmult =    471
 iogs (   gs) : iter =    436 ; delta = 9.466533e-03 ; diff = 1.342440e-07 ; dt = 35646.5 sec ; nmult =    472
 iogs (   gs) : iter =    437 ; delta = 9.466533e-03 ; diff = 1.318340e-07 ; dt = 35722.6 sec ; nmult =    473
 iogs (   gs) : iter =    438 ; delta = 9.466533e-03 ; diff = 1.287037e-07 ; dt = 35798.8 sec ; nmult =    474
 iogs (   gs) : iter =    439 ; delta = 9.466533e-03 ; diff = 1.264041e-07 ; dt = 35875.1 sec ; nmult =    475
 iogs (   gs) : iter =    440 ; delta = 9.466533e-03 ; diff = 1.233967e-07 ; dt = 35951.3 sec ; nmult =    476
 iogs (   gs) : iter =    441 ; delta = 9.466533e-03 ; diff = 1.212006e-07 ; dt = 36027.3 sec ; nmult =    477
 iogs (   gs) : iter =    442 ; delta = 9.466533e-03 ; diff = 1.183152e-07 ; dt = 36103.2 sec ; nmult =    478
 iogs (   gs) : iter =    443 ; delta = 9.466533e-03 ; diff = 1.162198e-07 ; dt = 36179.0 sec ; nmult =    479
 iogs (   gs) : iter =    444 ; delta = 9.466533e-03 ; diff = 1.134552e-07 ; dt = 36255.1 sec ; nmult =    480
 iogs (   gs) : iter =    445 ; delta = 9.466533e-03 ; diff = 1.114505e-07 ; dt = 36331.0 sec ; nmult =    481
 iogs (   gs) : iter =    446 ; delta = 9.466533e-03 ; diff = 1.087979e-07 ; dt = 36406.9 sec ; nmult =    482
 iogs (   gs) : iter =    447 ; delta = 9.466533e-03 ; diff = 1.068873e-07 ; dt = 36482.7 sec ; nmult =    483
 iogs (   gs) : iter =    448 ; delta = 9.466533e-03 ; diff = 1.043395e-07 ; dt = 36558.6 sec ; nmult =    484
 iogs (   gs) : iter =    449 ; delta = 9.466533e-03 ; diff = 1.025107e-07 ; dt = 36634.6 sec ; nmult =    485
 iogs (   gs) : iter =    450 ; delta = 9.466533e-03 ; diff = 1.000742e-07 ; dt = 36710.6 sec ; nmult =    486
 iogs (   gs) : iter =    451 ; delta = 7.664373e-08 ; diff = 9.832579e-08 ; dt = 36786.6 sec ; nmult =    488
iogs : solved pagerank(a=0.9900) in   451 its,   487 sweeps, and   488 mults to 1.000000e-07 tol
output norm: 1.0000000000000000e+00
