Parameters: 
   graphfile = /var/tmp/dgleich/data/arabic-2005-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 22744080
edges = 639999458
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.248935e+00 ; dt =    14.0
 iogs (outer) : iter =      1 ; odelta = 2.979781e-01 ; dt =    84.8 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.042371e-01 ; dt =   140.7 ; nmult =        10
 iogs (outer) : iter =      3 ; odelta = 5.819490e-02 ; dt =   196.4 ; nmult =        14
 iogs (outer) : iter =      4 ; odelta = 4.182776e-02 ; dt =   251.8 ; nmult =        18
 iogs (outer) : iter =      5 ; odelta = 3.308848e-02 ; dt =   307.9 ; nmult =        22
 iogs (outer) : iter =      6 ; odelta = 2.744431e-02 ; dt =   363.6 ; nmult =        26
 iogs (outer) : iter =      7 ; odelta = 2.343006e-02 ; dt =   419.3 ; nmult =        30
 iogs (outer) : iter =      8 ; odelta = 2.054682e-02 ; dt =   461.0 ; nmult =        33
 iogs (outer) : iter =      9 ; odelta = 1.827283e-02 ; dt =   502.9 ; nmult =        36
 iogs (outer) : iter =     10 ; odelta = 1.642257e-02 ; dt =   545.2 ; nmult =        39
 iogs (outer) : iter =     11 ; odelta = 1.488765e-02 ; dt =   587.4 ; nmult =        42
 iogs (outer) : iter =     12 ; odelta = 1.358659e-02 ; dt =   629.2 ; nmult =        45
 iogs (outer) : iter =     13 ; odelta = 1.246495e-02 ; dt =   671.1 ; nmult =        48
 iogs (outer) : iter =     14 ; odelta = 1.148668e-02 ; dt =   713.0 ; nmult =        51
 iogs (outer) : iter =     15 ; odelta = 1.062674e-02 ; dt =   754.9 ; nmult =        54
 iogs (outer) : iter =     16 ; odelta = 9.865139e-03 ; dt =   796.7 ; nmult =        57
 iogs (   gs) : iter =    396 ; delta = 9.865139e-03 ; diff = 2.588963e-07 ; dt =  6148.7 sec ; nmult =    437
 iogs (   gs) : iter =    397 ; delta = 9.865139e-03 ; diff = 2.548709e-07 ; dt =  6162.8 sec ; nmult =    438
 iogs (   gs) : iter =    398 ; delta = 9.865139e-03 ; diff = 2.476140e-07 ; dt =  6177.0 sec ; nmult =    439
 iogs (   gs) : iter =    399 ; delta = 9.865139e-03 ; diff = 2.437292e-07 ; dt =  6191.1 sec ; nmult =    440
 iogs (   gs) : iter =    400 ; delta = 9.865139e-03 ; diff = 2.366786e-07 ; dt =  6205.2 sec ; nmult =    441
 iogs (   gs) : iter =    401 ; delta = 9.865139e-03 ; diff = 2.331588e-07 ; dt =  6219.3 sec ; nmult =    442
 iogs (   gs) : iter =    402 ; delta = 9.865139e-03 ; diff = 2.263413e-07 ; dt =  6233.3 sec ; nmult =    443
 iogs (   gs) : iter =    403 ; delta = 9.865139e-03 ; diff = 2.229005e-07 ; dt =  6247.5 sec ; nmult =    444
 iogs (   gs) : iter =    404 ; delta = 9.865139e-03 ; diff = 2.165198e-07 ; dt =  6261.6 sec ; nmult =    445
 iogs (   gs) : iter =    405 ; delta = 9.865139e-03 ; diff = 2.132087e-07 ; dt =  6275.8 sec ; nmult =    446
 iogs (   gs) : iter =    406 ; delta = 9.865139e-03 ; diff = 2.069932e-07 ; dt =  6289.8 sec ; nmult =    447
 iogs (   gs) : iter =    407 ; delta = 9.865139e-03 ; diff = 2.039886e-07 ; dt =  6303.8 sec ; nmult =    448
 iogs (   gs) : iter =    408 ; delta = 9.865139e-03 ; diff = 1.979831e-07 ; dt =  6318.1 sec ; nmult =    449
 iogs (   gs) : iter =    409 ; delta = 9.865139e-03 ; diff = 1.950525e-07 ; dt =  6332.1 sec ; nmult =    450
 iogs (   gs) : iter =    410 ; delta = 9.865139e-03 ; diff = 1.894260e-07 ; dt =  6346.3 sec ; nmult =    451
 iogs (   gs) : iter =    411 ; delta = 9.865139e-03 ; diff = 1.865911e-07 ; dt =  6360.4 sec ; nmult =    452
 iogs (   gs) : iter =    412 ; delta = 9.865139e-03 ; diff = 1.811142e-07 ; dt =  6374.5 sec ; nmult =    453
 iogs (   gs) : iter =    413 ; delta = 9.865139e-03 ; diff = 1.785646e-07 ; dt =  6388.8 sec ; nmult =    454
 iogs (   gs) : iter =    414 ; delta = 9.865139e-03 ; diff = 1.732599e-07 ; dt =  6402.8 sec ; nmult =    455
 iogs (   gs) : iter =    415 ; delta = 9.865139e-03 ; diff = 1.707545e-07 ; dt =  6416.9 sec ; nmult =    456
 iogs (   gs) : iter =    416 ; delta = 9.865139e-03 ; diff = 1.657985e-07 ; dt =  6431.1 sec ; nmult =    457
 iogs (   gs) : iter =    417 ; delta = 9.865139e-03 ; diff = 1.633841e-07 ; dt =  6445.1 sec ; nmult =    458
 iogs (   gs) : iter =    418 ; delta = 9.865139e-03 ; diff = 1.585476e-07 ; dt =  6459.3 sec ; nmult =    459
 iogs (   gs) : iter =    419 ; delta = 9.865139e-03 ; diff = 1.563758e-07 ; dt =  6473.4 sec ; nmult =    460
 iogs (   gs) : iter =    420 ; delta = 9.865139e-03 ; diff = 1.516973e-07 ; dt =  6487.4 sec ; nmult =    461
 iogs (   gs) : iter =    421 ; delta = 9.865139e-03 ; diff = 1.495694e-07 ; dt =  6501.6 sec ; nmult =    462
 iogs (   gs) : iter =    422 ; delta = 9.865139e-03 ; diff = 1.451934e-07 ; dt =  6515.7 sec ; nmult =    463
 iogs (   gs) : iter =    423 ; delta = 9.865139e-03 ; diff = 1.431293e-07 ; dt =  6529.9 sec ; nmult =    464
 iogs (   gs) : iter =    424 ; delta = 9.865139e-03 ; diff = 1.388620e-07 ; dt =  6543.9 sec ; nmult =    465
 iogs (   gs) : iter =    425 ; delta = 9.865139e-03 ; diff = 1.370236e-07 ; dt =  6558.0 sec ; nmult =    466
 iogs (   gs) : iter =    426 ; delta = 9.865139e-03 ; diff = 1.328853e-07 ; dt =  6572.2 sec ; nmult =    467
 iogs (   gs) : iter =    427 ; delta = 9.865139e-03 ; diff = 1.310689e-07 ; dt =  6586.3 sec ; nmult =    468
 iogs (   gs) : iter =    428 ; delta = 9.865139e-03 ; diff = 1.272095e-07 ; dt =  6600.4 sec ; nmult =    469
 iogs (   gs) : iter =    429 ; delta = 9.865139e-03 ; diff = 1.254553e-07 ; dt =  6614.5 sec ; nmult =    470
 iogs (   gs) : iter =    430 ; delta = 9.865139e-03 ; diff = 1.216799e-07 ; dt =  6628.5 sec ; nmult =    471
 iogs (   gs) : iter =    431 ; delta = 9.865139e-03 ; diff = 1.201161e-07 ; dt =  6642.7 sec ; nmult =    472
 iogs (   gs) : iter =    432 ; delta = 9.865139e-03 ; diff = 1.164593e-07 ; dt =  6656.8 sec ; nmult =    473
 iogs (   gs) : iter =    433 ; delta = 9.865139e-03 ; diff = 1.149190e-07 ; dt =  6671.0 sec ; nmult =    474
 iogs (   gs) : iter =    434 ; delta = 9.865139e-03 ; diff = 1.115044e-07 ; dt =  6685.0 sec ; nmult =    475
 iogs (   gs) : iter =    435 ; delta = 9.865139e-03 ; diff = 1.100052e-07 ; dt =  6699.1 sec ; nmult =    476
 iogs (   gs) : iter =    436 ; delta = 9.865139e-03 ; diff = 1.066689e-07 ; dt =  6713.2 sec ; nmult =    477
 iogs (   gs) : iter =    437 ; delta = 9.865139e-03 ; diff = 1.053487e-07 ; dt =  6727.3 sec ; nmult =    478
 iogs (   gs) : iter =    438 ; delta = 9.865139e-03 ; diff = 1.021084e-07 ; dt =  6741.5 sec ; nmult =    479
 iogs (   gs) : iter =    439 ; delta = 9.865139e-03 ; diff = 1.007950e-07 ; dt =  6755.5 sec ; nmult =    480
 iogs (   gs) : iter =    440 ; delta = 6.773296e-08 ; diff = 9.777880e-08 ; dt =  6769.6 sec ; nmult =    482
iogs : solved pagerank(a=0.9900) in   440 its,   481 sweeps, and   482 mults to 1.000000e-07 tol
output norm: 1.0000000000000000e+00
