Parameters: 
   graphfile = /var/tmp/dgleich/data/sk-2005-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 50636154
edges = 1949412601
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.322439e+00 ; dt =    51.2
 iogs (outer) : iter =      1 ; odelta = 3.222867e-01 ; dt =   313.3 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.116112e-01 ; dt =   575.4 ; nmult =        11
 iogs (outer) : iter =      3 ; odelta = 6.298903e-02 ; dt =   785.6 ; nmult =        15
 iogs (outer) : iter =      4 ; odelta = 4.488223e-02 ; dt =   996.3 ; nmult =        19
 iogs (outer) : iter =      5 ; odelta = 3.503196e-02 ; dt =  1207.8 ; nmult =        23
 iogs (outer) : iter =      6 ; odelta = 2.874110e-02 ; dt =  1420.5 ; nmult =        27
 iogs (outer) : iter =      7 ; odelta = 2.436960e-02 ; dt =  1633.2 ; nmult =        31
 iogs (outer) : iter =      8 ; odelta = 2.123207e-02 ; dt =  1792.6 ; nmult =        34
 iogs (outer) : iter =      9 ; odelta = 1.874127e-02 ; dt =  1952.1 ; nmult =        37
 iogs (outer) : iter =     10 ; odelta = 1.674043e-02 ; dt =  2111.7 ; nmult =        40
 iogs (outer) : iter =     11 ; odelta = 1.509967e-02 ; dt =  2271.5 ; nmult =        43
 iogs (outer) : iter =     12 ; odelta = 1.371312e-02 ; dt =  2431.5 ; nmult =        46
 iogs (outer) : iter =     13 ; odelta = 1.253646e-02 ; dt =  2591.5 ; nmult =        49
 iogs (outer) : iter =     14 ; odelta = 1.153236e-02 ; dt =  2751.8 ; nmult =        52
 iogs (outer) : iter =     15 ; odelta = 1.065097e-02 ; dt =  2912.3 ; nmult =        55
 iogs (outer) : iter =     16 ; odelta = 9.870745e-03 ; dt =  3073.1 ; nmult =        58
 iogs (   gs) : iter =    396 ; delta = 9.870745e-03 ; diff = 2.593776e-07 ; dt = 23227.6 sec ; nmult =    438
 iogs (   gs) : iter =    397 ; delta = 9.870745e-03 ; diff = 2.537866e-07 ; dt = 23278.7 sec ; nmult =    439
 iogs (   gs) : iter =    398 ; delta = 9.870745e-03 ; diff = 2.482452e-07 ; dt = 23329.8 sec ; nmult =    440
 iogs (   gs) : iter =    399 ; delta = 9.870745e-03 ; diff = 2.428953e-07 ; dt = 23381.0 sec ; nmult =    441
 iogs (   gs) : iter =    400 ; delta = 9.870745e-03 ; diff = 2.375941e-07 ; dt = 23431.8 sec ; nmult =    442
 iogs (   gs) : iter =    401 ; delta = 9.870745e-03 ; diff = 2.324904e-07 ; dt = 23482.9 sec ; nmult =    443
 iogs (   gs) : iter =    402 ; delta = 9.870745e-03 ; diff = 2.274161e-07 ; dt = 23533.9 sec ; nmult =    444
 iogs (   gs) : iter =    403 ; delta = 9.870745e-03 ; diff = 2.225323e-07 ; dt = 23585.0 sec ; nmult =    445
 iogs (   gs) : iter =    404 ; delta = 9.870745e-03 ; diff = 2.176902e-07 ; dt = 23636.1 sec ; nmult =    446
 iogs (   gs) : iter =    405 ; delta = 9.870745e-03 ; diff = 2.130175e-07 ; dt = 23687.2 sec ; nmult =    447
 iogs (   gs) : iter =    406 ; delta = 9.870745e-03 ; diff = 2.083827e-07 ; dt = 23738.2 sec ; nmult =    448
 iogs (   gs) : iter =    407 ; delta = 9.870745e-03 ; diff = 2.039235e-07 ; dt = 23789.4 sec ; nmult =    449
 iogs (   gs) : iter =    408 ; delta = 9.870745e-03 ; diff = 1.994876e-07 ; dt = 23840.5 sec ; nmult =    450
 iogs (   gs) : iter =    409 ; delta = 9.870745e-03 ; diff = 1.952211e-07 ; dt = 23891.7 sec ; nmult =    451
 iogs (   gs) : iter =    410 ; delta = 9.870745e-03 ; diff = 1.909861e-07 ; dt = 23942.8 sec ; nmult =    452
 iogs (   gs) : iter =    411 ; delta = 9.870745e-03 ; diff = 1.869019e-07 ; dt = 23993.9 sec ; nmult =    453
 iogs (   gs) : iter =    412 ; delta = 9.870745e-03 ; diff = 1.828490e-07 ; dt = 24045.1 sec ; nmult =    454
 iogs (   gs) : iter =    413 ; delta = 9.870745e-03 ; diff = 1.789523e-07 ; dt = 24096.1 sec ; nmult =    455
 iogs (   gs) : iter =    414 ; delta = 9.870745e-03 ; diff = 1.750710e-07 ; dt = 24147.3 sec ; nmult =    456
 iogs (   gs) : iter =    415 ; delta = 9.870745e-03 ; diff = 1.713406e-07 ; dt = 24198.4 sec ; nmult =    457
 iogs (   gs) : iter =    416 ; delta = 9.870745e-03 ; diff = 1.676359e-07 ; dt = 24249.6 sec ; nmult =    458
 iogs (   gs) : iter =    417 ; delta = 9.870745e-03 ; diff = 1.640650e-07 ; dt = 24300.6 sec ; nmult =    459
 iogs (   gs) : iter =    418 ; delta = 9.870745e-03 ; diff = 1.605173e-07 ; dt = 24351.8 sec ; nmult =    460
 iogs (   gs) : iter =    419 ; delta = 9.870745e-03 ; diff = 1.571085e-07 ; dt = 24402.9 sec ; nmult =    461
 iogs (   gs) : iter =    420 ; delta = 9.870745e-03 ; diff = 1.537113e-07 ; dt = 24454.0 sec ; nmult =    462
 iogs (   gs) : iter =    421 ; delta = 9.870745e-03 ; diff = 1.504486e-07 ; dt = 24505.2 sec ; nmult =    463
 iogs (   gs) : iter =    422 ; delta = 9.870745e-03 ; diff = 1.472045e-07 ; dt = 24556.2 sec ; nmult =    464
 iogs (   gs) : iter =    423 ; delta = 9.870745e-03 ; diff = 1.440795e-07 ; dt = 24607.5 sec ; nmult =    465
 iogs (   gs) : iter =    424 ; delta = 9.870745e-03 ; diff = 1.409735e-07 ; dt = 24658.6 sec ; nmult =    466
 iogs (   gs) : iter =    425 ; delta = 9.870745e-03 ; diff = 1.379916e-07 ; dt = 24709.8 sec ; nmult =    467
 iogs (   gs) : iter =    426 ; delta = 9.870745e-03 ; diff = 1.350157e-07 ; dt = 24760.9 sec ; nmult =    468
 iogs (   gs) : iter =    427 ; delta = 9.870745e-03 ; diff = 1.321599e-07 ; dt = 24812.0 sec ; nmult =    469
 iogs (   gs) : iter =    428 ; delta = 9.870745e-03 ; diff = 1.293190e-07 ; dt = 24863.1 sec ; nmult =    470
 iogs (   gs) : iter =    429 ; delta = 9.870745e-03 ; diff = 1.265843e-07 ; dt = 24914.2 sec ; nmult =    471
 iogs (   gs) : iter =    430 ; delta = 9.870745e-03 ; diff = 1.238624e-07 ; dt = 24965.4 sec ; nmult =    472
 iogs (   gs) : iter =    431 ; delta = 9.870745e-03 ; diff = 1.212513e-07 ; dt = 25016.4 sec ; nmult =    473
 iogs (   gs) : iter =    432 ; delta = 9.870745e-03 ; diff = 1.186442e-07 ; dt = 25067.3 sec ; nmult =    474
 iogs (   gs) : iter =    433 ; delta = 9.870745e-03 ; diff = 1.161443e-07 ; dt = 25118.0 sec ; nmult =    475
 iogs (   gs) : iter =    434 ; delta = 9.870745e-03 ; diff = 1.136541e-07 ; dt = 25169.1 sec ; nmult =    476
 iogs (   gs) : iter =    435 ; delta = 9.870745e-03 ; diff = 1.112588e-07 ; dt = 25220.7 sec ; nmult =    477
 iogs (   gs) : iter =    436 ; delta = 9.870745e-03 ; diff = 1.088735e-07 ; dt = 25272.4 sec ; nmult =    478
 iogs (   gs) : iter =    437 ; delta = 9.870745e-03 ; diff = 1.065872e-07 ; dt = 25324.7 sec ; nmult =    479
 iogs (   gs) : iter =    438 ; delta = 9.870745e-03 ; diff = 1.043010e-07 ; dt = 25375.8 sec ; nmult =    480
 iogs (   gs) : iter =    439 ; delta = 9.870745e-03 ; diff = 1.021104e-07 ; dt = 25426.8 sec ; nmult =    481
 iogs (   gs) : iter =    440 ; delta = 8.094796e-08 ; diff = 9.992720e-08 ; dt = 25478.0 sec ; nmult =    483
iogs : solved pagerank(a=0.9900) in   440 its,   482 sweeps, and   483 mults to 1.000000e-07 tol
output norm: 1.0000000000000000e+00
